legacy_v3_id,legacy_title,v4_id,v4_title,relationship,title_similarity_pct,body_similarity_pct,note
001,送别父亲,002,送别父亲,retained_exact,100.00,100.00,
002,关于逻辑、经济、政策、市场等,003,关于逻辑、经济、政策、市场等,retained_exact,100.00,100.00,
003,回望青春 感恩母校,004,回望青春 感恩母校,retained_exact,100.00,100.00,
004,高中生活二三事,005,高中生活二三事,retained_exact,100.00,100.00,
005,时光的刻痕,006,时光的刻痕,retained_exact,100.00,100.00,
006,关于北京大学秦宛顺靳云汇奖学基金的问答,007,关于北京大学秦宛顺靳云汇奖学基金的问答,retained_exact,100.00,100.00,
007,悼词——李勇先生,008,悼词——李勇先生,retained_exact,100.00,100.00,
008,岁月如歌,009,岁月如歌,retained_exact,100.00,100.00,
009,高善文眼中的《投资中国》,010,《投资中国》书评,retained_exact,50.00,100.00,
010,送别母亲,011,送别母亲,retained_exact,100.00,100.00,
011,一位首席经济学家的心灵史,,,removed_from_v4,,,V4.0 未收录该旧版条目。
012,“远见杯”排名之我见,001,“远见杯”排名之我见,retained_exact,100.00,100.00,
013,小制度 大问题,051,小制度 大问题,retained_revised,100.00,83.99,
014,关于股灾、杠杆与流动性的反思,082,关于股灾、杠杆与流动性的反思,retained_exact,100.00,100.00,
015,股市震荡之后值得深思的三个问题,083,股市震荡之后值得深思的三个问题,retained_exact,100.00,100.00,
016,关于股灾与资本市场制度建设的讨论（上）,084,关于股灾与资本市场制度建设的讨论（上）,retained_exact,100.00,100.00,
017,2017-05 《金钱永不眠-资本世界的暗流涌动和金融逻辑》书评,012,《金钱永不眠》书评,retained_minor_revision,50.00,99.40,
018,关于股灾与资本市场制度建设的讨论（下）,098,关于股灾与资本市场制度建设的讨论（下）,retained_exact,100.00,100.00,
019,三十年未有之变局——中国潜在增速的趋势转折,014,三十年未有之变局——中国潜在增速的趋势转折,retained_exact,100.00,100.00,
020,光线是可以弯曲的–关于研究方法的一些体悟和浅见,015,光线是可以弯曲的–关于研究方法的一些体悟和浅见,retained_exact,100.00,100.00,
021,人民币国际化―――问题与思考,044,人民币国际化―――问题与思考,retained_exact,100.00,100.00,
022,掀开货币的面纱之二– 产出缺口与通货膨胀,024,掀开货币的面纱之二– 产出缺口与通货膨胀,retained_exact,100.00,100.00,
023,通货膨胀的理解框架,025,通货膨胀的理解框架,retained_exact,100.00,100.00,
024,掀开货币的面纱之三-中国的通货膨胀与货币供应,028,掀开货币的面纱之三-中国的通货膨胀与货币供应,retained_exact,100.00,100.00,
025,新经济周期的是与非,029,新经济周期的是与非,retained_exact,100.00,100.00,
026,通胀是股市的“情敌”,030,通胀是股市的“情敌”,retained_exact,100.00,100.00,
027,中国经济是否经过了刘易斯拐点？(.pdf),016,中国经济是否经过了刘易斯拐点？,retained_exact,90.32,100.00,
028,资产重估理论概述之三：资产配置优化——实体经济与金融市场的共同调整,070,资产重估理论概述之三：资产配置优化——实体经济与金融市场的共同调整,retained_exact,100.00,100.00,
029,安信证券2012年度投资策略会新闻通稿,,,removed_from_v4,,,V4.0 未收录该旧版条目。
030,向死而生,071,向死而生,retained_exact,100.00,100.00,
031,一个基于国际收支变化的分析框架——产能周期理论概述之二,135,一个基于国际收支变化的分析框架——产能周期理论概述之二,retained_exact,100.00,100.00,
032,内需显著下降，流动性趋近拐点,045,内需显著下降，流动性趋近拐点,retained_exact,100.00,100.00,
033,固本培元,031,固本培元,retained_exact,100.00,100.00,
034,货币政策扩张与资产价格重估——资产重估理论之五,072,货币政策扩张与资产价格重估——资产重估理论之五,retained_exact,100.00,100.00,
035,《经济运行的逻辑》前言,017,《经济运行的逻辑》前言,retained_exact,100.00,100.00,
036,房地产复苏和调控,100,房地产复苏和调控,retained_exact,100.00,100.00,
037,《经济运行的逻辑》序,,,removed_from_v4,,,V4.0 未收录该旧版条目。
038,关于近期货币市场利率飙升影响的看法,074,关于近期货币市场利率飙升影响的看法,retained_exact,100.00,100.00,
039,关于近期货币市场利率飙升影响的看法,074,关于近期货币市场利率飙升影响的看法,retained_minor_revision,100.00,99.69,
040,短期内尾部风险下降，长期内尾部风险上升,046,短期内尾部风险下降，长期内尾部风险上升,retained_exact,100.00,100.00,
041,潮起潮落,047,潮起潮落,retained_exact,100.00,100.00,
042,债券之殇,048,债券之殇,retained_exact,100.00,100.00,
043,IPO注册制和利率市场化改革的代价,049,IPO注册制和利率市场化改革的代价,retained_exact,100.00,100.00,
044,债务危机有多远？,075,债务危机有多远？,retained_exact,100.00,100.00,
045,星星之火,076,星星之火,retained_exact,100.00,100.00,
046,利率市场化与余额宝的兴起,050,利率市场化与余额宝的兴起,retained_exact,100.00,100.00,
047,经济增长与城镇新增就业,033,经济增长与城镇新增就业,retained_exact,100.00,100.00,
048,盈虚之有时,102,盈虚之有时,retained_exact,100.00,100.00,
049,房地产市场向何处去？,103,房地产市场向何处去？,retained_exact,100.00,100.00,
050,牛市有多远,078,牛市有多远,retained_exact,100.00,100.00,
051,市场预测的可能与不可能,019,市场预测的可能与不可能,retained_exact,100.00,100.00,
052,见龙在田_2014年12月16日,079,见龙在田,legacy_abridged_consolidated,42.11,37.86,旧版短稿/会议稿在 V4.0 中合并到完整稿。
053,见龙在田,079,见龙在田,retained_minor_revision,100.00,99.92,
054,资本市场向何处去_2015年5月20日,080,资本市场向何处去,retained_minor_revision,61.54,99.92,
055,日乾夕惕,081,日乾夕惕,retained_exact,100.00,100.00,
056,汇率贬值出其不意，股市维稳增添变数,052,汇率贬值出其不意，股市维稳增添变数,retained_exact,100.00,100.00,
057,人民币汇率向何处去？,053,人民币汇率向何处去？,retained_exact,100.00,100.00,
058,供给侧也有“三驾马车”,137,供给侧也有“三驾马车”,retained_exact,100.00,100.00,
059,含章可贞,054,含章可贞,retained_exact,100.00,100.00,
060,守正待时,085,守正待时,retained_exact,100.00,100.00,
061,货币剪刀差背后的秘密,056,货币剪刀差背后的秘密,retained_exact,100.00,100.00,
062,短周期工业品价格的“蜜月期”快结束了吗？,123,短周期工业品价格的“蜜月期”快结束了吗？,retained_exact,100.00,100.00,
063,雾霾从哪里来？,124,雾霾从哪里来？,retained_exact,100.00,100.00,
064,守望春华,104,守望春华,retained_exact,100.00,100.00,
065,做空成本攀升 离岸人民币短线走强,057,做空成本攀升 离岸人民币短线走强,retained_exact,100.00,100.00,
066,政策利率上调 货币政策趋紧,058,政策利率上调 货币政策趋紧,retained_exact,100.00,100.00,
067,进口大幅增长 经济数据积极,138,进口大幅增长 经济数据积极,retained_exact,100.00,100.00,
068,僵尸企业特别多的行业都是国有资本集中的行业,125,僵尸企业特别多的行业都是国有资本集中的行业,retained_exact,100.00,100.00,
069,商品价格和PPI环比显著走弱 流动性趋紧牵制估值水平,086,商品价格和PPI环比显著走弱 流动性趋紧牵制估值水平,retained_exact,100.00,100.00,
070,高善文博士《大浪淘沙》演讲要点,,,removed_from_v4,,,V4.0 未收录该旧版条目。
071,中国影子银行体系的兴起和变迁,087,中国影子银行体系的兴起和变迁,retained_exact,100.00,100.00,
072,影子体系资金从“脱实向虚”到“脱虚向实”,059,影子体系资金从“脱实向虚”到“脱虚向实”,retained_exact,100.00,100.00,
073,年内经济前高后低 中长期景气前景仍值得期待,036,年内经济前高后低 中长期景气前景仍值得期待,retained_exact,100.00,100.00,
074,金融机构到了河那边 金融监管还在河里,088,金融机构到了河那边 金融监管还在河里,retained_exact,100.00,100.00,
075,供应受限量跌价升 旺季需求有待检验,061,供应受限量跌价升 旺季需求有待检验,retained_exact,100.00,100.00,
076,中国的城市化与房地产市场（二）,105,中国的城市化与房地产市场（二）,retained_exact,100.00,100.00,
077,中国的城市化与房地产市场（三）,106,中国的城市化与房地产市场（三）,retained_exact,100.00,100.00,
078,站到拐点，我终于找到了房价上涨的主导性因素！,107,站到拐点，我终于找到了房价上涨的主导性因素！,retained_exact,100.00,100.00,
079,房地产库存已明显低于长期合理水平,108,房地产库存已明显低于长期合理水平,retained_exact,100.00,100.00,
080,走进新时代,127,走进新时代,retained_exact,100.00,100.00,
081,走进新时代,127,走进新时代,retained_revised,100.00,94.70,
082,经济动能维持韧性 市场风险偏好提升,089,经济动能维持韧性 市场风险偏好提升,retained_exact,100.00,100.00,
083,金融危机以后 中国企业资产负债率趋势下降,090,金融危机以后 中国企业资产负债率趋势下降,retained_exact,100.00,100.00,
084,中美关系已进入修昔底德陷阱,139,中美关系已进入修昔底德陷阱,retained_exact,100.00,100.00,
085,中国企业部门杠杆率之谜,091,中国企业部门杠杆率之谜,retained_exact,100.00,100.00,
086,去杠杆之争,092,去杠杆之争,retained_exact,100.00,100.00,
087,中美贸易战的走向,140,中美贸易战的走向,retained_exact,100.00,100.00,
088,去杠杆之争,092,去杠杆之争,retained_revised,100.00,91.02,
089,中美贸易摩擦深处的忧虑,020,中美贸易摩擦深处的忧虑,retained_exact,100.00,100.00,
090,中美贸易摩擦深处的忧虑（重复归档）,020,中美贸易摩擦深处的忧虑,retained_exact,84.62,100.00,
091,反者道之动,129,反者道之动,retained_exact,100.00,100.00,
092,静水深流,145,静水深流,retained_exact,100.00,100.00,
093,知止不殆,038,知止不殆,retained_exact,100.00,100.00,
094,变局之中开新局,155,变局之中开新局,retained_exact,100.00,100.00,
095,后疫情时代的经济与市场,156,后疫情时代的经济与市场,retained_exact,100.00,100.00,
096,青山遮不住 毕竟东流去,094,青山遮不住 毕竟东流去,retained_exact,100.00,100.00,
097,守得云开见月明,158,守得云开见月明,retained_exact,100.00,100.00,
098,风物长宜放眼量,111,风物长宜放眼量,retained_exact,100.00,100.00,
099,沉舟侧畔千帆过,112,沉舟侧畔千帆过,retained_exact,100.00,100.00,
100,吹尽狂沙始到金,148,吹尽狂沙始到金,retained_exact,100.00,100.00,
101,中国通胀形成机制的几点观察,040,关于中国通货膨胀形成机制的几点观察,retained_minor_revision,86.67,97.03,
102,关于中国通货膨胀形成机制的几点观察,040,关于中国通货膨胀形成机制的几点观察,retained_exact,100.00,100.00,
103,物转星移又一秋,114,物转星移又一秋,retained_exact,100.00,100.00,
104,顺势而为,041,顺势而为,retained_exact,100.00,100.00,
105,道是无晴却有晴,116,道是无晴却有晴,retained_exact,100.00,100.00,
106,奋楫逐浪天地宽,118,奋楫逐浪天地宽,retained_exact,100.00,100.00,
107,2013-06 潮起潮落,047,潮起潮落,retained_revised,100.00,93.39,
108,中国影子银行兴起及其风险,097,中国影子银行兴起及其风险,retained_exact,100.00,100.00,
