chunk_id,article_id,title,date,thematic_category,chunk_index,section_path,primary_topic,topics,methodology_concepts,broad_observation_dimensions,exclusive_evidence_methods,non_ws_chars,overlap_non_ws_chars,prev_chunk_id,next_chunk_id,article_md,content_sha256
001-s001,001,“远见杯”排名之我见,2011-12-12,成长、追忆与评论,1,正文,研究方法与证据,研究方法与证据,左侧—右侧判断;情景与预测复盘,国内国际与资本流动,时序与领先滞后,939,0,,001-s002,02_markdown_articles/001_2011-12-12_“远见杯”排名之我见.md,1728018b1dc4f9964aeeab279d38c55c99eea346e57e376f91caba1789d85c2e
001-s002,001,“远见杯”排名之我见,2011-12-12,成长、追忆与评论,2,正文,研究方法与证据,研究方法与证据,左侧—右侧判断;情景与预测复盘,国内国际与资本流动,时序与领先滞后,976,214,001-s001,001-s003,02_markdown_articles/001_2011-12-12_“远见杯”排名之我见.md,404c9d472076ea374e56d767d19de5683b36e02a564764cfe931ad634772b76f
001-s003,001,“远见杯”排名之我见,2011-12-12,成长、追忆与评论,3,正文,研究方法与证据,研究方法与证据,左侧—右侧判断;情景与预测复盘,国内国际与资本流动,时序与领先滞后,634,215,001-s002,,02_markdown_articles/001_2011-12-12_“远见杯”排名之我见.md,30cdf13b6e1e35734a50f09edfc84f165292ff6cf09677c08ca8c0477581f540
002-s001,002,送别父亲,2012-09-16,成长、追忆与评论,1,正文,研究方法与证据,研究方法与证据,,行业横断面,,957,0,,002-s002,02_markdown_articles/002_2012-09-16_送别父亲.md,596fde7f7b3db4cc5c0b027f91842665d0f8e99db6b8cc9cdc18e936d4cb8947
002-s002,002,送别父亲,2012-09-16,成长、追忆与评论,2,正文,研究方法与证据,研究方法与证据,,行业横断面,,487,203,002-s001,,02_markdown_articles/002_2012-09-16_送别父亲.md,c1b8ac67c8f1fe4bf3fb20b7f3ac349313a9b7603b838282c4b4c4f002c2e943
003-s001,003,关于逻辑、经济、政策、市场等,2013-08-13,成长、追忆与评论,1,正文,研究方法与证据,研究方法与证据;财政与地方政府;信用债务与金融风险;股票与资本市场;通胀与价格;房地产与城市化,情景与预测复盘,产品与品类横断面,多市场一致性,965,0,,003-s002,02_markdown_articles/003_2013-08-13_关于逻辑、经济、政策、市场等.md,062f178c8283b1352159b3f2177ab81e9a5d512354e3594b5dda6ed494f1629e
003-s002,003,关于逻辑、经济、政策、市场等,2013-08-13,成长、追忆与评论,2,正文,研究方法与证据,研究方法与证据;财政与地方政府;信用债务与金融风险;股票与资本市场;通胀与价格;房地产与城市化,情景与预测复盘,产品与品类横断面,多市场一致性,932,208,003-s001,003-s003,02_markdown_articles/003_2013-08-13_关于逻辑、经济、政策、市场等.md,323df7a2173de2303f8b3f4d2155617236af77ce15181039d029aff71370afae
003-s003,003,关于逻辑、经济、政策、市场等,2013-08-13,成长、追忆与评论,3,正文,研究方法与证据,研究方法与证据;财政与地方政府;信用债务与金融风险;股票与资本市场;通胀与价格;房地产与城市化,情景与预测复盘,产品与品类横断面,多市场一致性,904,200,003-s002,003-s004,02_markdown_articles/003_2013-08-13_关于逻辑、经济、政策、市场等.md,fa5999949a6a5125050459385a792653fb585c1621cc279376c1a9937f648d97
003-s004,003,关于逻辑、经济、政策、市场等,2013-08-13,成长、追忆与评论,4,正文,研究方法与证据,研究方法与证据;财政与地方政府;信用债务与金融风险;股票与资本市场;通胀与价格;房地产与城市化,情景与预测复盘,产品与品类横断面,多市场一致性,931,191,003-s003,003-s005,02_markdown_articles/003_2013-08-13_关于逻辑、经济、政策、市场等.md,510c8c277974ff7f819aba51716d1ab87a9e6901d3cd7f5774a9829786956caa
003-s005,003,关于逻辑、经济、政策、市场等,2013-08-13,成长、追忆与评论,5,正文,研究方法与证据,研究方法与证据;财政与地方政府;信用债务与金融风险;股票与资本市场;通胀与价格;房地产与城市化,情景与预测复盘,产品与品类横断面,多市场一致性,344,201,003-s004,,02_markdown_articles/003_2013-08-13_关于逻辑、经济、政策、市场等.md,132596b2c65613084ff529106c0af7afcddd13bedb554f0e4bbd6e5deda38f83
004-s001,004,回望青春 感恩母校,2018-07-10,成长、追忆与评论,1,正文,研究方法与证据,研究方法与证据;产业升级与制造业,国际与历史对标,,,1002,0,,004-s002,02_markdown_articles/004_2018-07-10_回望青春_感恩母校.md,1e21dbf37fb3c138ba2bc8248dabe785e4ae4dbc41e45d0a3d0c735ccedf2b62
004-s002,004,回望青春 感恩母校,2018-07-10,成长、追忆与评论,2,正文,研究方法与证据,研究方法与证据;产业升级与制造业,国际与历史对标,,,467,210,004-s001,,02_markdown_articles/004_2018-07-10_回望青春_感恩母校.md,ef07cd862aab6ee15d96db7faa311271182bf717e38ad917c6d6b00ed1ce9194
005-s001,005,高中生活二三事,2018-07-20,成长、追忆与评论,1,一、去远方,研究方法与证据,研究方法与证据,,,,986,0,,005-s002,02_markdown_articles/005_2018-07-20_高中生活二三事.md,14aa8628cc16ebea131fff9f2daac70625fc2424bd19276f868e9f57c7abc3d4
005-s002,005,高中生活二三事,2018-07-20,成长、追忆与评论,2,一、去远方,研究方法与证据,研究方法与证据,,,,335,206,005-s001,005-s003,02_markdown_articles/005_2018-07-20_高中生活二三事.md,9bf57a55978e8c40b9492fb7b5f65c571c13d78445d404feaf18701fb9614710
005-s003,005,高中生活二三事,2018-07-20,成长、追忆与评论,3,二、沐浴,研究方法与证据,研究方法与证据,,,,578,214,005-s002,005-s004,02_markdown_articles/005_2018-07-20_高中生活二三事.md,19437e42a80ca91d93086c880427d8b638b42f073aa6ffdaea8c35d5d31f659b
005-s004,005,高中生活二三事,2018-07-20,成长、追忆与评论,4,三、火人,研究方法与证据,研究方法与证据,,,,561,201,005-s003,005-s005,02_markdown_articles/005_2018-07-20_高中生活二三事.md,70c2b0f6cb83c34048246295ca21d2e075ddfe6246af890abf13e0a00b9e69c2
005-s005,005,高中生活二三事,2018-07-20,成长、追忆与评论,5,四、喝酒与无线电,研究方法与证据,研究方法与证据,,,,962,202,005-s004,,02_markdown_articles/005_2018-07-20_高中生活二三事.md,5564b18793f208a378b4a020ae8cd2e029d4b16106db6167ac0bf001c8066e2d
006-s001,006,时光的刻痕,2018-07-26,成长、追忆与评论,1,正文,研究方法与证据,研究方法与证据;股票与资本市场,国际与历史对标,主体资产负债表,时序与领先滞后,308,0,,006-s002,02_markdown_articles/006_2018-07-26_时光的刻痕.md,f40538e099ba241c86daba04452a9a42a2ba4ab40f60041b65d5d7664dc7644c
006-s002,006,时光的刻痕,2018-07-26,成长、追忆与评论,2,一、生产队的记忆,研究方法与证据,研究方法与证据;股票与资本市场,国际与历史对标,主体资产负债表,时序与领先滞后,952,214,006-s001,006-s003,02_markdown_articles/006_2018-07-26_时光的刻痕.md,3c11e23970221af03caf89fa31d7c4a8f4df967b2b17523eda4fcd23a29be8f3
006-s003,006,时光的刻痕,2018-07-26,成长、追忆与评论,3,二、北大往事,研究方法与证据,研究方法与证据;股票与资本市场,国际与历史对标,主体资产负债表,时序与领先滞后,911,205,006-s002,006-s004,02_markdown_articles/006_2018-07-26_时光的刻痕.md,33205f8e51b6c31bbb22f2db97e4dd64d73ef5882e801fc58aca95b19102cf25
006-s004,006,时光的刻痕,2018-07-26,成长、追忆与评论,4,二、北大往事,研究方法与证据,研究方法与证据;股票与资本市场,国际与历史对标,主体资产负债表,时序与领先滞后,815,202,006-s003,006-s005,02_markdown_articles/006_2018-07-26_时光的刻痕.md,f97d6269f9504d680a8a9b582029115036f6aef1ce5771d17c3bb52150edf276
006-s005,006,时光的刻痕,2018-07-26,成长、追忆与评论,5,三、葵花宝典,研究方法与证据,研究方法与证据;股票与资本市场,国际与历史对标,主体资产负债表,时序与领先滞后,931,211,006-s004,006-s006,02_markdown_articles/006_2018-07-26_时光的刻痕.md,c7ef908a4e21082b74d19018daa0825fcc1610d04593bfe29734341f65a3b95a
006-s006,006,时光的刻痕,2018-07-26,成长、追忆与评论,6,四、上海滩,研究方法与证据,研究方法与证据;股票与资本市场,国际与历史对标,主体资产负债表,时序与领先滞后,926,202,006-s005,006-s007,02_markdown_articles/006_2018-07-26_时光的刻痕.md,1e5eaafecbce8a482b530045015207bffb1d90b7bcaadf86316f6d6fafb6a9c3
