article_id,title,category_display,internal_type,epub_xhtml,filename_date,display_date,date_precision,reading_minutes,excerpt,non_ws_chars,cjk_chars,heading_count_h2_h6,table_count,chart_table_count,image_reference_count,unique_image_file_count,footnote_reference_count
001,“远见杯”排名之我见,成长、追忆与评论,commentary,OEBPS/text/article-001-commentary-2011-12-12-deggh2.xhtml,2011-12-12,2011-12-12,day,4,作为客观性较强的宏观经济评比活动，“远见杯”是由宋国青教授设计并发起、《证券市场周刊》主办的评比游戏。参加者提前一个季度提交预测数据，主办方根据最终统计局发布数据计算参加者预测误差，累计误差最小者胜出。多年参加此游戏...,2549,2290,0,0,0,0,0,0
002,送别父亲,成长、追忆与评论,essay,OEBPS/text/article-002-essay-2012-09-16-1w3ulz.xhtml,2012-09-16,2012-09-16,day,3,2012 年 9 月 8 日清晨 7 时 50 分许，我正在西藏林芝地区静谧的尼洋河谷中乘车行进，手间突然传来急促的电话声。太原的大哥在电话里平静而简短地告诉我，由于心力衰竭，父亲在几分钟前辞别人世。放下电话，我的头...,1444,1227,0,0,0,0,0,0
003,关于逻辑、经济、政策、市场等,成长、追忆与评论,essay,OEBPS/text/article-003-essay-2013-08-13-1u7u3gz.xhtml,2013-08-13,2013-08-13,day,6,8月8日腾讯微访谈全纪录---关于逻辑、经济、政策、市场等,4076,3655,0,0,0,0,0,0
004,回望青春 感恩母校,成长、追忆与评论,essay,OEBPS/text/article-004-essay-2018-07-10-2r7slu.xhtml,2018-07-10,2018-07-10,day,3,编者注：本文为高善文博士在临汾一中高163班（1985-1988）毕业三十周年纪念聚会暨向母校赠送文化碑石仪式上的即席演讲。,1469,1283,0,0,0,0,0,0
005,高中生活二三事,成长、追忆与评论,essay,OEBPS/text/article-005-essay-undated-gaozhong-life.xhtml,,2018-07-20,day,5,我小时候在农村长大，家里穷，常有衣食之忧。由于交通闭塞，对外面的世界很憧憬，却没有机会去看一看。,3443,3019,4,0,0,0,0,0
006,时光的刻痕,成长、追忆与评论,essay,OEBPS/text/article-006-essay-2018-07-26-1tkzb2j.xhtml,2018-07-26,2018-07-26,day,10,按语：今年是中国改革开放40周年。中国金融40人论坛组织“四十人看四十年”的系列活动，进行纪念。应其约请，并在编辑人员的反复催促下，我撰写此文，作为相关纪念书稿的一个部分。,6718,5965,5,0,0,0,0,0
007,关于北京大学秦宛顺靳云汇奖学基金的问答,成长、追忆与评论,essay,OEBPS/text/article-007-essay-2020-12-18-ffqqho.xhtml,2020-12-18,2020-12-18,day,2,编者按：近日，王国斌兄和我发起成立北京大学秦宛顺靳云汇奖学基金一事引起一些关注，为此，我们就此奖学金的一些背景情况进行了整理和介绍，供大家参阅。,749,662,2,0,0,0,0,0
008,悼词——李勇先生,成长、追忆与评论,essay,OEBPS/text/article-008-essay-2021-10-01-14j3a6w.xhtml,2021-10-01,2021-10-01,day,3,编者按：2021年9月27日，高善文博士的挚友，安信证券副总裁李勇先生因病辞世。根据李勇生前的嘱托，高善文博士在告别会上代表生前友好致悼词。现将悼词全文推送，以寄托共同的哀思。,1973,1704,0,0,0,0,0,0
009,岁月如歌,成长、追忆与评论,essay,OEBPS/text/article-009-essay-2021-10-11-13nbyr5.xhtml,2021-10-11,2021-10-11,day,3,1997 年中，亚洲金融危机呼啸来袭，外围市场动荡不安，中国经济遭遇重大冲击。刚上班不久的我对形势十分好奇和迷惑，适逢有派驻国际组织的高级官员回国公干，单位组织相关讲座，请他来主讲，我们都去旁听。他的讲座激情澎湃，洋...,1514,1303,0,0,0,0,0,0
010,《投资中国》书评,成长、追忆与评论,essay,OEBPS/text/article-010-essay-2022-07-22-1qni7fh.xhtml,2022-07-22,2022-07-22,day,5,王国斌先生新作《投资中国》的问世，激发了投资界很多人士的阅读热情以及思想共鸣。我们将摘选一些特色书评以飨读者。,2932,2592,0,0,0,0,0,0
