id,title,category,content_type,date,date_precision,minutes,file,source_file,source_epub,source_epub_sha256,non_ws_chars,cjk_chars,image_count,image_alts,excerpt,legacy_v3_ids,update_status,source_body_sha256,markdown_file_sha256,markdown_body_cjk_similarity,heading_count_source,table_count_source,chart_table_count_source
001,“远见杯”排名之我见,成长、追忆与评论,commentary,2011-12-12,day,4,02_markdown_articles/001_2011-12-12_“远见杯”排名之我见.md,OEBPS/text/article-001-commentary-2011-12-12-deggh2.xhtml,高善文文集V4.0.epub,d84eb38d989588b66ec63d0dce528f94564ecd444f043f7c46dfd21c12dc4366,2549,2290,0,,作为客观性较强的宏观经济评比活动，“远见杯”是由宋国青教授设计并发起、《证券市场周刊》主办的评比游戏。参加者提前一个季度提交预测数据，主办方根据最终统计局发布数据计算参加者预测误差，累计误差最小者胜出。多年参加此游戏...,012,retained_exact,3e525c84713560b681a1b81d05af43c39e67ae1e2f51abb09e9c34f6077b43c5,59a66a1baaa255b66010c370c84edfdefb7c840541897404f1ea4db9df821255,1.00000000,0,0,0
002,送别父亲,成长、追忆与评论,essay,2012-09-16,day,3,02_markdown_articles/002_2012-09-16_送别父亲.md,OEBPS/text/article-002-essay-2012-09-16-1w3ulz.xhtml,高善文文集V4.0.epub,d84eb38d989588b66ec63d0dce528f94564ecd444f043f7c46dfd21c12dc4366,1444,1227,0,,2012 年 9 月 8 日清晨 7 时 50 分许，我正在西藏林芝地区静谧的尼洋河谷中乘车行进，手间突然传来急促的电话声。太原的大哥在电话里平静而简短地告诉我，由于心力衰竭，父亲在几分钟前辞别人世。放下电话，我的头...,001,retained_exact,50a792a02101e0af14df980f0dc70c788009ce4ab1c8a55de6f88ca6a46b57e9,712c5024ea39e82077757300da2dd0fe415e9601a9fcb2a89801063e2c997ffd,1.00000000,0,0,0
003,关于逻辑、经济、政策、市场等,成长、追忆与评论,essay,2013-08-13,day,6,02_markdown_articles/003_2013-08-13_关于逻辑、经济、政策、市场等.md,OEBPS/text/article-003-essay-2013-08-13-1u7u3gz.xhtml,高善文文集V4.0.epub,d84eb38d989588b66ec63d0dce528f94564ecd444f043f7c46dfd21c12dc4366,4076,3655,0,,8月8日腾讯微访谈全纪录---关于逻辑、经济、政策、市场等,002,retained_exact,27829388691ad972278ba4b3f9b95983cc2c84e2948e28059a3d70c8ba3f70a0,1a5260854985c6dcc766ec3351d1fe6c8ee66286e419336bd919b8a047a63b7d,1.00000000,0,0,0
004,回望青春 感恩母校,成长、追忆与评论,essay,2018-07-10,day,3,02_markdown_articles/004_2018-07-10_回望青春_感恩母校.md,OEBPS/text/article-004-essay-2018-07-10-2r7slu.xhtml,高善文文集V4.0.epub,d84eb38d989588b66ec63d0dce528f94564ecd444f043f7c46dfd21c12dc4366,1469,1283,0,,编者注：本文为高善文博士在临汾一中高163班（1985-1988）毕业三十周年纪念聚会暨向母校赠送文化碑石仪式上的即席演讲。,003,retained_exact,64223993aef332cf567f768c3ef68f68511c16756a9bb510603db27206c0c8fb,93172b915d11619a8695a2324ff3caa14f795ee49a1497f1892d1ec09f88c2dc,1.00000000,0,0,0
005,高中生活二三事,成长、追忆与评论,essay,2018-07-20,day,5,02_markdown_articles/005_2018-07-20_高中生活二三事.md,OEBPS/text/article-005-essay-undated-gaozhong-life.xhtml,高善文文集V4.0.epub,d84eb38d989588b66ec63d0dce528f94564ecd444f043f7c46dfd21c12dc4366,3443,3019,0,,我小时候在农村长大，家里穷，常有衣食之忧。由于交通闭塞，对外面的世界很憧憬，却没有机会去看一看。,004,retained_exact,58b220745a0e0bca5154a3277725d309bcc78fba02ae178299cd99f9b8b3c4f1,56840392c21fd2df393f9dfbcb5ba7bbd4da29209cbb33f6ce836b6c6259f162,1.00000000,4,0,0
006,时光的刻痕,成长、追忆与评论,essay,2018-07-26,day,10,02_markdown_articles/006_2018-07-26_时光的刻痕.md,OEBPS/text/article-006-essay-2018-07-26-1tkzb2j.xhtml,高善文文集V4.0.epub,d84eb38d989588b66ec63d0dce528f94564ecd444f043f7c46dfd21c12dc4366,6718,5965,0,,按语：今年是中国改革开放40周年。中国金融40人论坛组织“四十人看四十年”的系列活动，进行纪念。应其约请，并在编辑人员的反复催促下，我撰写此文，作为相关纪念书稿的一个部分。,005,retained_exact,5e1bf29f99c7d33b091c3edaddbb7d0cb266ed46860d8d4b169a65dc029541e9,50669bcc09159e212f3861471d7ebe7d3c81d4b477f2004ecf85fcdf4a930753,1.00000000,5,0,0
007,关于北京大学秦宛顺靳云汇奖学基金的问答,成长、追忆与评论,essay,2020-12-18,day,2,02_markdown_articles/007_2020-12-18_关于北京大学秦宛顺靳云汇奖学基金的问答.md,OEBPS/text/article-007-essay-2020-12-18-ffqqho.xhtml,高善文文集V4.0.epub,d84eb38d989588b66ec63d0dce528f94564ecd444f043f7c46dfd21c12dc4366,749,662,0,,编者按：近日，王国斌兄和我发起成立北京大学秦宛顺靳云汇奖学基金一事引起一些关注，为此，我们就此奖学金的一些背景情况进行了整理和介绍，供大家参阅。,006,retained_exact,47d1b3aca170517ecda83b8016850b6e5f65b8596817af689250ee8cd9318416,b88119fd33f5e15f0e5dc98d74fb9258f3d8ef1aa1bb34240215bcfe13cdc4ca,1.00000000,2,0,0
008,悼词——李勇先生,成长、追忆与评论,essay,2021-10-01,day,3,02_markdown_articles/008_2021-10-01_悼词——李勇先生.md,OEBPS/text/article-008-essay-2021-10-01-14j3a6w.xhtml,高善文文集V4.0.epub,d84eb38d989588b66ec63d0dce528f94564ecd444f043f7c46dfd21c12dc4366,1973,1704,0,,编者按：2021年9月27日，高善文博士的挚友，安信证券副总裁李勇先生因病辞世。根据李勇生前的嘱托，高善文博士在告别会上代表生前友好致悼词。现将悼词全文推送，以寄托共同的哀思。,007,retained_exact,d191d540c85e303421135421900ef26de320db41fbd314ceb5b6b1ad092b9c4f,2bad750e42117de08fc3c63d8d0597f0aef49487f7593381148c95e39784e48d,1.00000000,0,0,0
009,岁月如歌,成长、追忆与评论,essay,2021-10-11,day,3,02_markdown_articles/009_2021-10-11_岁月如歌.md,OEBPS/text/article-009-essay-2021-10-11-13nbyr5.xhtml,高善文文集V4.0.epub,d84eb38d989588b66ec63d0dce528f94564ecd444f043f7c46dfd21c12dc4366,1514,1303,0,,1997 年中，亚洲金融危机呼啸来袭，外围市场动荡不安，中国经济遭遇重大冲击。刚上班不久的我对形势十分好奇和迷惑，适逢有派驻国际组织的高级官员回国公干，单位组织相关讲座，请他来主讲，我们都去旁听。他的讲座激情澎湃，洋...,008,retained_exact,94cbd217ae948f95cf9c5603e72f766616b928cec57672ba37adcbf738f00818,7a85a9e3a0048dcfc69df28888eea6ec15f5e7c47a99c767126203650119fbb7,1.00000000,0,0,0
010,《投资中国》书评,成长、追忆与评论,essay,2022-07-22,day,5,02_markdown_articles/010_2022-07-22_《投资中国》书评.md,OEBPS/text/article-010-essay-2022-07-22-1qni7fh.xhtml,高善文文集V4.0.epub,d84eb38d989588b66ec63d0dce528f94564ecd444f043f7c46dfd21c12dc4366,2932,2592,0,,王国斌先生新作《投资中国》的问世，激发了投资界很多人士的阅读热情以及思想共鸣。我们将摘选一些特色书评以飨读者。,009,retained_exact,379bac315596fe92fa837dceb999d66d805bd997624b99aeeaf021dbac14382c,9d9093748136662672f594c54b371eede38b71267a8d822b80814ed2894828a9,1.00000000,0,0,0
