article_id,title,date,category,image_count,image_alts,article_md,note
013,一块金币引发的思考,2009-09-09,代表作与研究方法,5,图1：彩金币的价格（元） | 图2：剔除黄金价格的影响后彩金币的价格（元） | 图3：指数化后的剔除了黄金价格影响的彩金币的价格与股指 | 图4：指数化后的剔除了黄金价格影响的彩金币的价格与股指 | 图5：“贵妃醉酒”与“群英会”的价格（元）,02_markdown_articles/013_2009-09-09_一块金币引发的思考.md,正文保留图题、来源与 EPUB 图像路径注释；原始图像仍在源 EPUB 中。
018,经济数据背后的逻辑,2013-10-26,代表作与研究方法,13,图1 可贸易部门的供给与需求 | 图2供应释放对可贸易部门的影响 | 图3 贸易盈余占比上升 | 图4 排除内需萎缩：国内总产出扩张 | 图5 观察外需：发达与新兴工业产出同比 | 图6 观察外需：可贸易品价格 | 图7 观察外需：中国出口额和出口量同比 | 图8 观察汇率：人民币有效汇率指数 | 图9总供应释放相关证据：核心CPI低位运行 | 图10 城镇就业增速上升 | 图11城镇单位平均工资指数 | 图12 资本存量上升的原因 | 图13贸易盈余占比（%）,02_markdown_articles/018_2013-10-26_经济数据背后的逻辑.md,正文保留图题、来源与 EPUB 图像路径注释；原始图像仍在源 EPUB 中。
021,通胀趋势与风险分析,2009-09-29,周期、通胀与人口,4,文章图表 | 文章图表 | 文章图表 | 文章图表,02_markdown_articles/021_2009-09-29_通胀趋势与风险分析.md,正文保留图题、来源与 EPUB 图像路径注释；原始图像仍在源 EPUB 中。
022,上升的地平线——刘易斯拐点与通胀裂口,2010-09-02,周期、通胀与人口,33,图 1：日本实际工资指数同比（%） | 图 2：日本的 PPI 和 CPI（%） | 图 3：日本 CPI 分类同比变化（%） | 图 4：日本 CPI 鲜菜和个人护理（%） | 图 5：CPI、PPI 和 CPI 食品的定基数（1993=100） | 图 6：中国三种粮食平均单位产量的成本趋势（1990=100） | 图 7：CPI 和 CPI 家庭服务及加工维修服务费同比变化（%） | 图 8：中国种粮单位劳动动力机会成本（元/日） | 图 9：中国不同劳动力密集农产品的累计涨幅（2000 年-2007 年） | 图 10：中国不同劳动力密集农产品的生产者价格潜在涨幅 | 图 11：中国过去二十年的 CPI 和 PPI 的变化（%） | 图 12：发电设备平均利用小时 | 图 13：中国过去十年的 CPI 和 PPI 的变化（%） | 图 14：CPI 鲜菜的两年复合同比增长率（%） | 图 15：CPI 粮食的两年复合同比增长率（%） | 图 16：韩国实际工资指数同比（%） | 图 17：韩国的 PPI 和 CPI（%） | 图 18：韩国的 CPI 食品和 CPI 非食品（%） | 图 19：台湾实际工资指数同比（%） | 图 20：台湾的 WPI 和分类 CPI（%） | 图 21：日本各部门通胀和生产效率进步（1961 年-1992 年） | 图 22：美国各部门通胀和生产效率进步（1962 年-1991 年） | 图 23：中国不同劳动力密集农产品的累计涨幅（2000 年-2007 年） | 公式 | 公式 | 公式 | 公式 | 图 23：中国不同劳动力密集农产品的累计涨幅（2000 年-2007 年） | 公式 | 图 23：中国不同劳动力密集农产品的累计涨幅（2000 年-2007 年） | 公式 | 公式 | 图 24：中国不同劳动力密集农产品的生产者价格潜在涨幅,02_markdown_articles/022_2010-09-02_上升的地平线——刘易斯拐点与通胀裂口.md,正文保留图题、来源与 EPUB 图像路径注释；原始图像仍在源 EPUB 中。
026,潮水退去,2011-07-14,周期、通胀与人口,23,图1：CPI 增速预测（%） | 图2：猪粮比 | 图3：中美PPI 同比增速（%） | 图4：全球工业同比增速与中国规模以上工业同比增速 | 图5：OECD 工业同比增速与中国规模以上工业同比增速（%） | 图6：全球工业指数季度环比增速（%，季调） | 图7：OECD 工业指数季度环比增速（%，季调） | 图8：中国不同劳动力密集农产品的累计涨幅（2000 年-2007 年） | 图9：中国不同劳动力密集农产品的累计涨幅（1990 年-2000 年） | 图10：城乡月度CPI 蔬菜价格增速差（%，农村-城市） | 图11：城乡社会消费品零售增速差（县-城市，%） | 图12：加权平均利率绝对值（%） | 图13：加权贷款利率较基准利率上浮（%） | 图14：第二产业名义增速与GDP 名义增速（%） | 图15：社会融资总量同比增速与贷款增速（%） | 图16：社会融资总量同比增速II（%） | 图17：贸易盈余占名义GDP 比例（季度，%） | 图18：名义和实际贸易盈余占比（%） | 图19：工业企业利润率（%） | 图20：工业企业下游利润率（%） | 图21：工业企业中游利润率（%） | 图22：工业企业上游利润率（%） | 图23：工业企业上、中、下游增加值占比图,02_markdown_articles/026_2011-07-14_潮水退去.md,正文保留图题、来源与 EPUB 图像路径注释；原始图像仍在源 EPUB 中。
027,货币与通胀长期关系的简要回顾,2011-08-19,周期、通胀与人口,6,图1：货币供应量增速与通货膨胀率 | 图2：货币供应量增速与通货膨胀率 | 图2：货币供应量增速与通货膨胀率 | 公式 | 图2：货币供应量增速与通货膨胀率 | 公式,02_markdown_articles/027_2011-08-19_货币与通胀长期关系的简要回顾.md,正文保留图题、来源与 EPUB 图像路径注释；原始图像仍在源 EPUB 中。
032,总量扩张政策难解结构性失业问题,2014-04-20,周期、通胀与人口,11,图1 经济增速与城镇就业增速 | 图2 经济增速与城镇就业增速散点图 | 图3 经济增速与城镇职工平均工资实际增速 | 图4 经济增速与城镇职工平均工资实际增速散点图 | 图5外出农民工月均工资名义增速 | 图6 求人倍率：按年龄 | 图7求人倍率：按学历 | 图8 城镇就业增速与适龄劳动人口增速 | 图 9 城镇就业渗透率的变化 | 图 9 城镇就业渗透率的变化 | 图10 GDP实际城镇就业渗透率的变化,02_markdown_articles/032_2014-04-20_总量扩张政策难解结构性失业问题.md,正文保留图题、来源与 EPUB 图像路径注释；原始图像仍在源 EPUB 中。
033,经济增长与城镇新增就业,2014-05-08,周期、通胀与人口,6,图1：GDP 实际增速与城镇就业人口存量增速，% | 图2：GDP 实际增速与城镇单位职工平均工资实际增速，% | 图3：GDP 实际增速与城镇单位职工平均工资实际增速，% | 图4：按年龄分组人才市场求人倍率 | 图5：按学历分组人才市场求人倍率 | 图6：中国适龄劳动人口数量，15-64 岁,02_markdown_articles/033_2014-05-08_经济增长与城镇新增就业.md,正文保留图题、来源与 EPUB 图像路径注释；原始图像仍在源 EPUB 中。
038,知止不殆,2019-12-08,周期、通胀与人口,63,图1：转型中的实际GDP 增速，% | 图2：转型中的人均耗电，千瓦时/年 | 图3：转型中的城市化率，% | 图4：转型中非农就业占适龄劳动人口比，% | 图5：转型开始后8 年出口份额累积提升比例，% | 图6：转型中制造业实际工资指数 | 图7：转型中制造业实际工资指数（汇率调整） | 图8：转型中人均汽车保有量，辆/人 | 图9：转型中人均汽车保有量（基年调整），辆/人 | 图10：转型中投资率，% | 图11：转型开始后投资率的下降，% | 图12：转型中杠杆率，% | 图13：转型开始后8 年杠杆率的累积提升率，% | 图14：转型开始后8 年杠杆率的累积提升率，% | 图15：发债企业ROE：民企-国企，% | 图16：AA 级发债企业ROE：民企-国企，% | 图17：发债的上市和未上市国企、民企ROE，% | 图18：3 年期AA 级企业发债利率：民企-国企，% | 图19：1 年期AA+级企业发债利率：民企-国企，% | 图20：1 年期AA+级信用债二级市场收益率：民企-国企，% | 图21：产业债利差：民企-中央国企，BP | 图22：产业债利差：民企-地方国企，BP | 图23：ROE<10%分位数的企业的ROE 均值：民企-国企，% | 图24：ROE<3%的企业的ROE 均值：民企-国企，% | 图25：ROE<0 的企业的ROE 均值：民企-国企，% | 图26：企业的现金流：民企-国企，% | 图27：ROE<10%分位数的企业的现金流：民企-国企，% | 图28：上市公司PE 值：民企-国企 | 图29：上市公司PB 值：民企-国企 | 图30：PE 与ROE：民企-国企 | 图31：PB 与ROE：民企-国企 | 图32：规上工业企业资产负债率：民企V.S.国企，% | 图33：各风格板块上市公司资产负债率：民企V.S.国企，% | 图34：全球出口名义和实际同比，% | 图35：中国出口同比和对美出口同比，% | 图36：名义和实际贸易盈余/GDP，% | 图37：全社会固定政策投资同比，% | 图38：基础设施投资当季同比，% | 图39：狭义和广义地方政府债务余额同比，% | 图40：城投平台有息负债余额同比，% | 图41：制造业投资：出口依赖度高V.S.低，% | 图42：限产组和对照组工业增加值同比，% | 图43：限产组和对照组工业增加值同比，% | 图44：商品房非合意存货，千平方米 | 图45：房地产销售面积和新开工面积同比，% | 图表 | 图表 | 图表 | http://s4.sinaimg.cn/mw690/002jf5rkgy6QV0VPTjBd3&690 | http://s14.sinaimg.cn/mw690/002jf5rkgy6QV0X7NmJfd&690 | http://s8.sinaimg.cn/mw690/002jf5rkgy6QV0Z1SWbf7&690 | http://s4.sinaimg.cn/mw690/002jf5rkgy6QV11g0x5b3&690 | http://s12.sinaimg.cn/mw690/002jf5rkgy6QV11snqP2b&690 | 图表 | 图表 | 图表 | 图表 | 图表 | http://s1.sinaimg.cn/mw690/002jf5rkgy6QV1jciisb0&690 | http://s13.sinaimg.cn/mw690/002jf5rkgy6QV1kGYNeec&690 | http://s10.sinaimg.cn/mw690/002jf5rkgy6QV1mkHxLb9&690 | http://s16.sinaimg.cn/mw690/002jf5rkgy6QV1nj7BR3f&690 | http://s11.sinaimg.cn/mw690/002jf5rkgy6QV1p6s7Uda&690,02_markdown_articles/038_2019-12-08_知止不殆.md,正文保留图题、来源与 EPUB 图像路径注释；原始图像仍在源 EPUB 中。
039,观察一季度经济数据的三个维度,2020-05-03,周期、通胀与人口,9,图1：金融海啸和新冠疫情对经济增速的影响 | 图2：金融海啸和新冠疫情对工业增加值的影响 | 图3：金融海啸和新冠疫情对PPI的影响 | 图4：金融海啸和新冠疫情对非食品CPI的影响 | 图5：金融海啸和新冠疫情对CPI的影响 | 图6：新冠疫情对线上、线下消费总量的影响 | 图7：新冠疫情对线上食品、日用品、服装消费的影响 | 图8：新冠疫情对日用品消费的影响 | 图9：金融海啸和新冠疫情对家庭服务及加工维修服务的影响,02_markdown_articles/039_2020-05-03_观察一季度经济数据的三个维度.md,正文保留图题、来源与 EPUB 图像路径注释；原始图像仍在源 EPUB 中。
