article_id,title,source_cjk_chars,markdown_body_cjk_similarity,passes_0_99,source_body_sha256,markdown_file_sha256
001,“远见杯”排名之我见,2290,1.00000000,true,3e525c84713560b681a1b81d05af43c39e67ae1e2f51abb09e9c34f6077b43c5,59a66a1baaa255b66010c370c84edfdefb7c840541897404f1ea4db9df821255
002,送别父亲,1227,1.00000000,true,50a792a02101e0af14df980f0dc70c788009ce4ab1c8a55de6f88ca6a46b57e9,712c5024ea39e82077757300da2dd0fe415e9601a9fcb2a89801063e2c997ffd
003,关于逻辑、经济、政策、市场等,3655,1.00000000,true,27829388691ad972278ba4b3f9b95983cc2c84e2948e28059a3d70c8ba3f70a0,1a5260854985c6dcc766ec3351d1fe6c8ee66286e419336bd919b8a047a63b7d
004,回望青春 感恩母校,1283,1.00000000,true,64223993aef332cf567f768c3ef68f68511c16756a9bb510603db27206c0c8fb,93172b915d11619a8695a2324ff3caa14f795ee49a1497f1892d1ec09f88c2dc
005,高中生活二三事,3019,1.00000000,true,58b220745a0e0bca5154a3277725d309bcc78fba02ae178299cd99f9b8b3c4f1,56840392c21fd2df393f9dfbcb5ba7bbd4da29209cbb33f6ce836b6c6259f162
006,时光的刻痕,5965,1.00000000,true,5e1bf29f99c7d33b091c3edaddbb7d0cb266ed46860d8d4b169a65dc029541e9,50669bcc09159e212f3861471d7ebe7d3c81d4b477f2004ecf85fcdf4a930753
007,关于北京大学秦宛顺靳云汇奖学基金的问答,662,1.00000000,true,47d1b3aca170517ecda83b8016850b6e5f65b8596817af689250ee8cd9318416,b88119fd33f5e15f0e5dc98d74fb9258f3d8ef1aa1bb34240215bcfe13cdc4ca
008,悼词——李勇先生,1704,1.00000000,true,d191d540c85e303421135421900ef26de320db41fbd314ceb5b6b1ad092b9c4f,2bad750e42117de08fc3c63d8d0597f0aef49487f7593381148c95e39784e48d
009,岁月如歌,1303,1.00000000,true,94cbd217ae948f95cf9c5603e72f766616b928cec57672ba37adcbf738f00818,7a85a9e3a0048dcfc69df28888eea6ec15f5e7c47a99c767126203650119fbb7
010,《投资中国》书评,2592,1.00000000,true,379bac315596fe92fa837dceb999d66d805bd997624b99aeeaf021dbac14382c,9d9093748136662672f594c54b371eede38b71267a8d822b80814ed2894828a9
011,送别母亲,1709,1.00000000,true,ae530027daacd2f8cd7fba0dbc20752dd98909e3a13c2cbbd9eda6fab7c23df6,69fe2f0a9ac03a5241e71e2c76c062a1c4a8f0b413231f1901f05538d3f6f616
012,《金钱永不眠》书评,1112,1.00000000,true,365d01af33b1e2230901a97fedef71e03bf92c441de3cc5576467cd155e230af,881c568c009ed1092c2bd0bd164b8d828f375b2e900f24c58056fd71c6cb09ff
013,一块金币引发的思考,2183,1.00000000,true,7faf1333dcb868b8b865fb788fde038bd0c2d87b6cc19f5aef24f03659d51830,577d5d2d0af7d021f55cdaa824d2d20fef532160a91bc214ad729cac170548e2
014,三十年未有之变局——中国潜在增速的趋势转折,6000,1.00000000,true,31a27b47dfa4966ed7648efcfc11655180caa25ff05ac03e1ca851b913cf95f9,75f1df5cad5d21e0d2045c9959b168a7e8c0308ca8dffa467435eec39ff28173
015,光线是可以弯曲的–关于研究方法的一些体悟和浅见,10916,1.00000000,true,74e5ec2ec3bb2dbca4b567e56d18e797ed80ed882e9a1ffe79a0d7b56617e2c8,7af9f81c65035b10ef1580708c06ec652c7038c766c11c9e904da54a756d51c1
016,中国经济是否经过了刘易斯拐点？,5764,1.00000000,true,eb3178d94d2281a632f0323d0517d83f27119c3bc37db1940a0f716ee38bbee9,23b57b12e61ca0f1e290d09ea2380fb0571d104dcb92fa439372359752cfb85e
017,《经济运行的逻辑》前言,2292,1.00000000,true,d557db2193c7f94c4823c1995aa409258237d0d2bbeddcef74aa027458dd62d6,3abe3efccdd1baca7ad2b7c0643e41b178b14fe3ccb44b671a33208f7e6feb5d
018,经济数据背后的逻辑,4027,1.00000000,true,6d275269f6b72806d101ff3ccd85647136a66a949b353cf495d515a71a83b6fb,cd119407408e0952bd9acc746fa7ee465702c9ecacb405dc7f89288268301eb2
019,市场预测的可能与不可能,2743,1.00000000,true,da57fbd3a9cff9d590f97c513bf5b59aeba146a89c3e613e05853d457aba93b8,fd24d831683b78c267bfab40b37dc946f027c18b714f3954c4603a7f00422256
020,中美贸易摩擦深处的忧虑,11156,1.00000000,true,9b41abd58c529ae4e9909755770505973bbe7fd334990a474b786b19d488af9b,f5bca79e89435f578b4d4dd67b63dbbbf28567a5f4ca341de26821e23b3be25c
021,通胀趋势与风险分析,5007,1.00000000,true,ef19148a7772cc6bc813b6d6156bb9f0fe6f98bf4c84cdd3db99fbcf898244a6,611d3288d0dc6634ce447f259d1a8bbcda21da4021cd977b342e0a8f62493479
022,上升的地平线——刘易斯拐点与通胀裂口,9289,1.00000000,true,576e7f79571ee012d009f418636ddbfd9670dc231efac9ee14d5020408ad92d3,a6efa9759b2d931bc8f9c79955f1bb430c2d4d02344d29235491148d08824d8a
023,2011看波段,1243,1.00000000,true,b2e98f5bc60a36e0d4698a49923513c06e123b170ec4ea25badb0b41df56420e,1bb16f68ee44102c6a2ca94dde7efaf11caa7cd7da56ec3665701af2868606f5
024,掀开货币的面纱之二– 产出缺口与通货膨胀,4138,1.00000000,true,811129cd3e173e1a320102a3ce9174687c15f012d156332756fbdf0fad2dfc6a,e8790fab51dc158477af3db2f3c205abfce144530aa7b6e0b0253552c1d70944
025,通货膨胀的理解框架,3972,1.00000000,true,7bcf1004ac9eff3987f572b2943b30066fd4d558d6686a0aafb5a29b175cb805,b3b5ea2d8168b12a4b7594d0759d54e740496e4ead90a727f05da5e124c68b4d
026,潮水退去,10159,1.00000000,true,0b93a455bc1b5bcb3c167db9c90906f9094985c3544f8ee7935048f0cbbcfde8,e325b75e07f797a30b049a6dda181c9ffac1c1f8fe10f90f4c176802d5f5f7a4
027,货币与通胀长期关系的简要回顾,3943,1.00000000,true,f4eb7d4b74d7bb1fe5e8ba0a1dccaadaecd893ff6266eae7d12b5cb7a80732d9,4d1810e84246c695be731b4205ecc0846495dc8cf3e5a58df15afd190a1cee50
028,掀开货币的面纱之三-中国的通货膨胀与货币供应,8481,1.00000000,true,6c117325d110345521609cd33a466112d046696f937d69dd4a7d0f91969ee6af,64c03d571752b846b8688891e05a29a00585291b54500957ef8488fed251187c
029,新经济周期的是与非,4056,1.00000000,true,b3a1235f216f41cca7ca5f68a48a57e8b75912754707824c9129688470b77e7a,ea7a4612e1d4fbb3019b6150bfd5157698795243e534cdc4e58e1f99923b1e12
030,通胀是股市的“情敌”,2651,1.00000000,true,26ed2e4c52ac094ec7368f39b7168dd5cb8292d4eefcbdf4c635acb202dc1f87,519ea8c74745ed96bd2bd77c34aaf2e4a64dc1e61a16e59ddc4bf207557ab62b
031,固本培元,8427,1.00000000,true,52c1c29fe3505277a8e594179a846a994fafb286f4c91f6cbab34d2e073390b9,ebb1a5a826509fdaad110559760e34929a4fbe102c0949acab4d37e82492c2ee
032,总量扩张政策难解结构性失业问题,5016,1.00000000,true,c430166080a526550c74382432e6572ae178606c514069ce4cbf66e3e0641d6e,0cb239ed3ee2c30ea70cbf634024338cfcfd5d7be972b12216cf245df9b34259
033,经济增长与城镇新增就业,2639,1.00000000,true,2a4ade7890b2db9d0ce124cdea866e524244de7af92d70d41ec8d8724fc21ff3,17dbb2219ba5938a1810c0cd2fcd0bcbc29d271b0ada91652ed28316cae5d357
034,上升的地平线,808,1.00000000,true,6c238fcedcc2c654571e006a4c7931255e9a537e8d9055939b2f7a305b239c46,9863b4667421d75604b9febdbf4200ce4d495876a4851242e92feb877da7ef2c
035,反思2016年的两种经济现象,2982,1.00000000,true,9d570c3f5cf150a9f7ede756e2f19784b480fc2ca80c50c89a502bb41aa37d87,ecbb44d4321f2d2802c4b3aff051cb3f1107956e33edfe0e1b05373b9f73fa81
036,年内经济前高后低 中长期景气前景仍值得期待,2998,1.00000000,true,a47187482fd11d96d70b89634457202873247cf8be68139b84a1d70d5544ccbe,19f80d1430b09b7c0c599fd570b44e391bc9c867026d33128bf1ef0cd69c9b01
037,关于经济周期的一些看法,2637,1.00000000,true,e120e405866176ad941fee10e192618330b7fbed7d0c0c5d785d0db417cb2739,a2e3c2877e477fc464df4cec149ea479fbd87576919dbc11e3d4b902cc1cceb8
038,知止不殆,20636,1.00000000,true,1d65b23f1be970868a60feb5d768507991a36a4046118193fd78992acdb3dcb5,4a2cf208c0d1d177e844b253c61b544ac6ea1dfca9bcc24ab153a9f03c4fec4e
039,观察一季度经济数据的三个维度,5612,1.00000000,true,c512cce0a12df7802e154629e69b70c54f5bd75295b15f428bb32c11386d4a3c,e9f4be7ab839739ec95635643ff7f631e70f86bfc58fae749e28f4cc20006701
040,关于中国通货膨胀形成机制的几点观察,6949,1.00000000,true,6e4e5170b36f07bdb66d82ef002f598d29c4285d50cee0f125554686fab7cdb5,1b7a85a185dbe1c0c2784a041f71244a1aebe9274701d0c07239f4de96af7c9b
041,顺势而为,9119,1.00000000,true,fb43c91b7c10fcddbf181b0927171a29c03067cc101a1527dd813ab2749b3abc,27217edfe6a952d8afc9f850921a73b8cfd13e79f017e1f183582908dde43a73
042,针对当前中国经济问题的几点观察,4071,1.00000000,true,ca7cc3821fc76d06775c8bf28993f24ca96f0f80d54263bd1edeec454b3066c5,2af53d034cf87c0f7610c3b7cdf5d0b44799a54bca4f6194b492ccdd4cc96f1b
043,稳住阵脚，徐图进取,1306,1.00000000,true,2b024516257b194214a3f3ff2d362bbbab8139e84c9480c2a10cd528ec8a5a40,8305d34bc2d53e247638b968dbb7b163f392a7fced1f66e884cdd85c59107135
044,人民币国际化―――问题与思考,7387,1.00000000,true,4288511d0ec2f389262daf87499c3ec0f1dcae70a3c986c245883993c0cccbd8,2feff0e35acecbf59b8fdd9b7fc6369b7921a33886ffd476096f59c354aed2ac
045,内需显著下降，流动性趋近拐点,2503,1.00000000,true,459d2bca10176613733065e055727255be5b92534ea56756d75a3d6044a99164,944f0b7982e6a2c6f4794def79389b3fd57092d72ec6488b8db4074df07fca08
046,短期内尾部风险下降，长期内尾部风险上升,576,1.00000000,true,610fb9d2a7a20f4e2dae54d250e1ef2260c8abb26bc784b6ecd3193b0d2c2c53,95c33795e85357ae2198dcd80c2e28ae029ff549ffdc5fc2d53f651938316f6c
047,潮起潮落,8438,1.00000000,true,e31d607016f15141cca837b65cf3863f714927c9d81a7f970db20919a28a8de1,d8b59925ff87eaceca8c66faa9a12e641232ab6e1377dddef36e6aed2ecf1a19
048,债券之殇,8214,1.00000000,true,15377e15f5aad8f3c84c05ebe224a16a8f3813f027e484b7e97ea17066f6db20,3de6c8c5cfc577e57c8f211dd423b6e32b200f2570de2a3c507b1a33095f24d9
049,IPO注册制和利率市场化改革的代价,1314,1.00000000,true,3378992ab27b8fa72b97a98c2059908e97620cc218697bab3d0b92dc5468e55c,79114f50401e4bf828027fe55c9df8ac8cd8a9f3f5e4a309ec1466c30b97a3a3
050,利率市场化与余额宝的兴起,10849,1.00000000,true,2069a442d495f02391a3e2da095328d7eb34fd16ca77c14f0f1c41954c209b1a,b892af641e91961c504f307c55590ac38d73c644c62b9e97258f9aad26c4332d
051,小制度 大问题,4588,1.00000000,true,bdefa019e56c3d8ed5d3e9e3c3a7c0738dc1db151d57ef2c33902d2c51959ab3,4183f679e53c0e703b529f3b0e9c934f7f010f5d1ccdc4de17e47ac16e23ef53
052,汇率贬值出其不意，股市维稳增添变数,638,1.00000000,true,60876283fc9ec2004d2c6dfc3154de22ba5884efa41e8eef8dee79d522869d27,c559c27f1d97d290086bd6da1c5b53da951f20c9f6d56c9e342631295ff94f65
053,人民币汇率向何处去？,11720,1.00000000,true,a089b5ceaa9ac8cd6f83739481ba682f0ea712708a89a1481189e0b759256afc,5e5d5a37833ab8ee1082053976e0018a53c7fd5c133bf194c0e84ceadd2cc912
054,含章可贞,11415,1.00000000,true,b5586c379d6bd680b0990a1bde074725c7aea78a5dd1b8320c07fa5fde13eb61,50183fd343398f8b299bcfd9d6835210fa50164a4f8b371eef4f1742fb5b8e5a
055,展望2016年中国经济可能面临的风险,2546,1.00000000,true,01118239c6504b984310adb49f06b750e798e8190947865f52c33cd0e9473a14,80c8e9ea4acec77d497e94bcd85861bfe42ad1028da47ec21d6e46244ba41258
