article_id,title,body_non_ws_chars,semantic_chunk_count,semantic_core_non_ws_chars,fixed_chunk_count,has_semantic_chunks,has_fixed_chunks
001,“远见杯”排名之我见,2549,3,2549,2,true,true
002,送别父亲,1444,2,1444,1,true,true
003,关于逻辑、经济、政策、市场等,4076,5,4076,3,true,true
004,回望青春 感恩母校,1469,2,1469,1,true,true
005,高中生活二三事,3451,5,3422,4,true,true
006,时光的刻痕,6728,9,6687,8,true,true
007,关于北京大学秦宛顺靳云汇奖学基金的问答,753,2,706,1,true,true
008,悼词——李勇先生,1973,2,1973,2,true,true
009,岁月如歌,1514,2,1514,2,true,true
010,《投资中国》书评,2940,3,2940,3,true,true
011,送别母亲,1959,2,1959,2,true,true
012,《金钱永不眠》书评,1243,2,1232,1,true,true
013,一块金币引发的思考,2700,3,2693,2,true,true
014,三十年未有之变局——中国潜在增速的趋势转折,6892,13,6703,11,true,true
015,光线是可以弯曲的–关于研究方法的一些体悟和浅见,12207,18,12060,15,true,true
016,中国经济是否经过了刘易斯拐点？,6707,13,6402,11,true,true
017,《经济运行的逻辑》前言,2475,3,2464,2,true,true
018,经济数据背后的逻辑,4638,5,4634,4,true,true
019,市场预测的可能与不可能,3015,3,3015,3,true,true
020,中美贸易摩擦深处的忧虑,12361,15,12266,13,true,true
021,通胀趋势与风险分析,5858,6,5854,5,true,true
022,上升的地平线——刘易斯拐点与通胀裂口,11487,19,11228,16,true,true
023,2011看波段,1438,2,1438,1,true,true
024,掀开货币的面纱之二– 产出缺口与通货膨胀,4643,8,4552,7,true,true
025,通货膨胀的理解框架,4484,7,4368,6,true,true
026,潮水退去,11761,23,11371,18,true,true
027,货币与通胀长期关系的简要回顾,4711,7,4674,6,true,true
028,掀开货币的面纱之三-中国的通货膨胀与货币供应,9534,16,9278,14,true,true
029,新经济周期的是与非,4448,8,4378,6,true,true
030,通胀是股市的“情敌”,3034,3,3034,3,true,true
031,固本培元,9522,18,8856,17,true,true
032,总量扩张政策难解结构性失业问题,5825,6,5825,5,true,true
033,经济增长与城镇新增就业,3143,4,3143,3,true,true
034,上升的地平线,931,1,926,1,true,true
035,反思2016年的两种经济现象,3369,4,3369,3,true,true
036,年内经济前高后低 中长期景气前景仍值得期待,3429,5,3382,5,true,true
037,关于经济周期的一些看法,2888,3,2888,3,true,true
038,知止不殆,25269,35,25047,29,true,true
039,观察一季度经济数据的三个维度,6186,7,6166,6,true,true
040,关于中国通货膨胀形成机制的几点观察,8787,14,8671,12,true,true
041,顺势而为,10845,16,10638,14,true,true
042,针对当前中国经济问题的几点观察,4496,5,4492,4,true,true
043,稳住阵脚，徐图进取,1448,2,1448,1,true,true
044,人民币国际化―――问题与思考,8109,12,8022,10,true,true
045,内需显著下降，流动性趋近拐点,2778,5,2723,5,true,true
046,短期内尾部风险下降，长期内尾部风险上升,627,1,627,1,true,true
047,潮起潮落,10915,19,10665,16,true,true
048,债券之殇,8943,13,8851,11,true,true
049,IPO注册制和利率市场化改革的代价,1555,2,1555,2,true,true
050,利率市场化与余额宝的兴起,12387,20,12105,16,true,true
051,小制度 大问题,5081,6,5022,6,true,true
052,汇率贬值出其不意，股市维稳增添变数,800,1,800,1,true,true
053,人民币汇率向何处去？,13688,22,13380,19,true,true
054,含章可贞,15040,25,14682,22,true,true
055,展望2016年中国经济可能面临的风险,3166,4,3162,3,true,true
056,货币剪刀差背后的秘密,6517,10,6434,8,true,true
057,做空成本攀升 离岸人民币短线走强,2529,6,2433,5,true,true
058,政策利率上调 货币政策趋紧,3390,5,3289,5,true,true
059,影子体系资金从“脱实向虚”到“脱虚向实”,5748,10,5594,9,true,true
060,金融去杠杆对实体经济的冲击,5091,5,5091,4,true,true
061,供应受限量跌价升 旺季需求有待检验,3783,6,3705,5,true,true
062,我对“将央行发行货币视为股权”这一理论的思考,1634,2,1634,2,true,true
063,真正的汇率市场化是最安全的堤坝,2430,3,2430,2,true,true
064,出台救济政策比刺激政策更为紧迫,3094,3,3090,3,true,true
065,分析人民币汇率要避免的几个误区,1636,2,1632,2,true,true
066,走向2035的中国经济,6341,8,6333,6,true,true
067,当前金融市场调整或于7月前结束　短期波动背后的若干事实值得注意,4666,5,4662,4,true,true
068,对近期经济金融形势的观察与研判,2467,3,2463,2,true,true
069,事情正在起变化,1424,2,1424,1,true,true
070,资产重估理论概述之三：资产配置优化——实体经济与金融市场的共同调整,2739,5,2707,3,true,true
071,向死而生,9449,17,9021,15,true,true
072,货币政策扩张与资产价格重估——资产重估理论之五,3556,5,3476,5,true,true
073,影子银行和壳价值,213,1,213,1,true,true
074,关于近期货币市场利率飙升影响的看法,2477,5,2285,3,true,true
075,债务危机有多远？,10213,17,9989,14,true,true
076,星星之火,7710,13,7506,13,true,true
077,中国经济和资产价格,2486,3,2486,2,true,true
078,牛市有多远,3202,6,3165,4,true,true
079,见龙在田,16859,30,16477,26,true,true
080,资本市场向何处去,3990,4,3990,3,true,true
081,日乾夕惕,13819,28,13446,25,true,true
082,关于股灾、杠杆与流动性的反思,4653,7,4551,6,true,true
083,股市震荡之后值得深思的三个问题,3828,6,3743,4,true,true
084,关于股灾与资本市场制度建设的讨论（上）,14898,20,14806,17,true,true
085,守正待时,14022,21,13781,19,true,true
086,商品价格和PPI环比显著走弱 流动性趋紧牵制估值水平,915,1,915,1,true,true
087,中国影子银行体系的兴起和变迁,4394,8,4278,6,true,true
088,金融机构到了河那边 金融监管还在河里,4771,5,4771,4,true,true
089,经济动能维持韧性 市场风险偏好提升,4169,9,4024,8,true,true
090,金融危机以后 中国企业资产负债率趋势下降,4450,5,4450,4,true,true
091,中国企业部门杠杆率之谜,2471,3,2471,2,true,true
092,去杠杆之争,7913,12,7727,11,true,true
093,防范金融危机的三个重要问题——预警可行性、传导机制与政策干预,5766,6,5766,5,true,true
094,青山遮不住 毕竟东流去,6947,10,6897,9,true,true
095,2020年末的信用债风波是一个重要转折点,1713,2,1713,2,true,true
096,关于当前经济和市场形势的几点看法,2287,3,2287,2,true,true
097,中国影子银行兴起及其风险,9385,13,9247,10,true,true
098,关于股灾与资本市场制度建设的讨论（下）,8276,9,8270,7,true,true
099,危机之下的结构调整与未来政策路径选择,5084,5,5084,4,true,true
100,房地产复苏和调控,3379,6,3309,6,true,true
