article_id,title,image_sequence,source_xhtml,src,resolved_path,exists_in_epub,alt,figure_number,caption,source_note
013,一块金币引发的思考,1,OEBPS/text/article-013-analysis-2009-09-09-cf40-193.xhtml,../images/p8gzpg-001_08a951c72c-84bf32c1-f2b77a4e.jpg,OEBPS/images/p8gzpg-001_08a951c72c-84bf32c1-f2b77a4e.jpg,true,图1：彩金币的价格（元）,,,
013,一块金币引发的思考,2,OEBPS/text/article-013-analysis-2009-09-09-cf40-193.xhtml,../images/143s4fk-002_0df381c6b9-bf38be17-fa9189aa.jpg,OEBPS/images/143s4fk-002_0df381c6b9-bf38be17-fa9189aa.jpg,true,图2：剔除黄金价格的影响后彩金币的价格（元）,,,
013,一块金币引发的思考,3,OEBPS/text/article-013-analysis-2009-09-09-cf40-193.xhtml,../images/h3t16o-003_396e95d2c7-69f352eb-4058265e.jpg,OEBPS/images/h3t16o-003_396e95d2c7-69f352eb-4058265e.jpg,true,图3：指数化后的剔除了黄金价格影响的彩金币的价格与股指,,,
013,一块金币引发的思考,4,OEBPS/text/article-013-analysis-2009-09-09-cf40-193.xhtml,../images/1xpm73x-004_f5ae8566f1-87d61256-e1644962.jpg,OEBPS/images/1xpm73x-004_f5ae8566f1-87d61256-e1644962.jpg,true,图4：指数化后的剔除了黄金价格影响的彩金币的价格与股指,,,
013,一块金币引发的思考,5,OEBPS/text/article-013-analysis-2009-09-09-cf40-193.xhtml,../images/1wyw0u7-005_f2292b2cb2-3be2efa7-416b94ec.jpg,OEBPS/images/1wyw0u7-005_f2292b2cb2-3be2efa7-416b94ec.jpg,true,图5：“贵妃醉酒”与“群英会”的价格（元）,,,
018,经济数据背后的逻辑,1,OEBPS/text/article-018-analysis-2013-10-26-cf40-1458.xhtml,../images/z8pbll-001_b643bbd29c-01928a18-6f0b0b95.jpg,OEBPS/images/z8pbll-001_b643bbd29c-01928a18-6f0b0b95.jpg,true,图1 可贸易部门的供给与需求,,,
018,经济数据背后的逻辑,2,OEBPS/text/article-018-analysis-2013-10-26-cf40-1458.xhtml,../images/1pufd06-002_e750b1225b-7f9bce2a-9a7e76ed.jpg,OEBPS/images/1pufd06-002_e750b1225b-7f9bce2a-9a7e76ed.jpg,true,图2供应释放对可贸易部门的影响,,,
018,经济数据背后的逻辑,3,OEBPS/text/article-018-analysis-2013-10-26-cf40-1458.xhtml,../images/co3w75-003_25d510247c-c727e8ec-0637a88c.jpg,OEBPS/images/co3w75-003_25d510247c-c727e8ec-0637a88c.jpg,true,图3 贸易盈余占比上升,,,
018,经济数据背后的逻辑,4,OEBPS/text/article-018-analysis-2013-10-26-cf40-1458.xhtml,../images/1ijhzvh-004_bb7370786d-71f19fb1-e7d03955.jpg,OEBPS/images/1ijhzvh-004_bb7370786d-71f19fb1-e7d03955.jpg,true,图4 排除内需萎缩：国内总产出扩张,,,
018,经济数据背后的逻辑,5,OEBPS/text/article-018-analysis-2013-10-26-cf40-1458.xhtml,../images/ehz1vu-005_e7a7213194-734657ab-012ac7fa.jpg,OEBPS/images/ehz1vu-005_e7a7213194-734657ab-012ac7fa.jpg,true,图5 观察外需：发达与新兴工业产出同比,,,
018,经济数据背后的逻辑,6,OEBPS/text/article-018-analysis-2013-10-26-cf40-1458.xhtml,../images/1pmnro0-006_ac526ec16c-126d6110-1f25d893.jpg,OEBPS/images/1pmnro0-006_ac526ec16c-126d6110-1f25d893.jpg,true,图6 观察外需：可贸易品价格,,,
